"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
17	17	84.3	6	6	0	99	51	57	63	6.72	1.78
10	3	27	1	2	0	27	5	10	16	5.33	1.19
14	0	30.7	1	0	0	36	8	20	11	3.23	1.44
7	4	21.3	0	2	0	25	18	14	19	8.02	2.02
55	0	42.3	2	3	0	57	14	42	28	5.95	1.68
33	33	200	15	6	0	211	49	119	84	3.78	1.3
33	33	199	12	14	0	216	45	108	92	4.16	1.31
48	0	78.7	4	1	0	86	22	61	31	3.55	1.37
70	0	59.3	2	0	0	53	27	38	16	2.43	1.35
7	0	16	0	0	0	16	2	4	5	2.81	1.13
34	34	211	14	11	0	194	45	147	76	3.24	1.13
57	0	63.7	1	5	1	78	34	55	38	5.37	1.76
5	0	4.3	0	0	0	6	2	6	5	10.38	1.85
61	0	59.3	3	5	26	75	13	44	31	4.7	1.48
16	0	17	0	0	0	16	12	12	4	2.12	1.65
33	33	194	8	13	0	204	30	98	91	4.22	1.21
31	1	36	0	2	1	36	14	22	19	4.75	1.39
76	0	82.7	4	2	1	79	23	67	28	3.05	1.23
57	0	64.7	5	0	0	61	29	49	25	3.48	1.39
31	31	206.3	9	9	0	201	63	139	85	3.71	1.28
25	25	140	10	8	0	122	67	122	65	4.18	1.35
37	0	40	1	0	0	61	15	27	29	6.53	1.9
57	0	42	1	3	0	35	31	37	24	5.14	1.57
25	25	151.3	9	7	0	126	50	123	57	3.39	1.16
82	0	87.3	2	4	7	40	41	114	26	2.68	0.93
29	28	167	11	9	0	172	70	91	84	4.53	1.45
34	7	65.3	3	5	1	60	23	58	28	3.86	1.27
72	0	65	5	3	5	52	26	71	29	4.02	1.2
20	20	109	5	6	0	127	44	87	68	5.61	1.57
5	4	20.7	1	3	0	18	12	23	13	5.66	1.45
42	1	62	2	0	1	71	26	43	27	3.92	1.57
36	9	88.3	6	5	0	68	40	68	31	3.16	1.22
14	1	20	2	2	0	28	11	19	24	10.8	1.95
8	4	22.3	2	1	0	37	14	9	17	6.85	2.28
20	0	20.7	1	2	0	26	9	16	11	4.79	1.69
29	29	167.7	18	3	0	128	94	154	54	2.9	1.32
5	5	22	1	1	0	20	8	10	10	4.09	1.27
68	0	75.7	2	7	1	79	26	59	34	4.04	1.39
37	12	105.3	6	6	0	93	55	87	47	4.02	1.41
8	0	6.3	0	0	0	10	8	5	11	15.63	2.84
4	0	6	0	0	0	5	1	2	0	0	1
19	19	111.3	6	7	0	115	38	85	54	4.37	1.37
34	34	210.3	14	11	0	204	73	183	93	3.98	1.32
18	0	19.7	1	0	0	17	11	8	10	4.58	1.42
9	0	13	0	1	0	11	12	7	10	6.92	1.77
2	0	2	0	0	0	0	1	2	0	0	0.5
25	11	63.3	3	8	1	97	25	35	61	8.67	1.93
15	0	13.7	1	0	0	13	8	6	5	3.29	1.54
73	0	70.3	0	3	0	79	24	49	32	4.09	1.46
13	0	12.7	0	0	1	16	5	7	5	3.55	1.66
11	4	27.7	0	4	0	35	14	20	23	7.48	1.77
9	0	7.7	0	1	0	8	4	8	5	5.87	1.57
10	0	10.3	0	1	0	3	0	5	1	0.87	0.29
29	20	107.3	6	10	0	120	56	89	70	5.87	1.64
8	0	7.7	0	2	1	9	5	8	1	1.17	1.83
46	0	46.7	4	2	0	46	20	43	22	4.24	1.41
68	0	43.3	2	0	2	39	20	44	20	4.15	1.36
29	29	168.7	9	10	0	220	49	125	95	5.07	1.6
45	13	118	8	5	0	118	46	62	56	4.27	1.39
15	7	52.3	0	3	0	56	15	38	33	5.68	1.36
26	3	41	1	3	0	37	23	46	19	4.17	1.46
31	26	150	11	8	0	166	36	82	76	4.56	1.35
5	5	25.3	1	2	0	28	17	9	18	6.39	1.78
1	0	1	0	0	0	1	0	0	0	0	1
5	5	22.3	0	4	0	41	7	9	24	9.67	2.15
45	5	64.7	3	4	10	40	34	75	24	3.34	1.14
16	15	74.7	4	8	0	80	41	48	51	6.15	1.62
12	10	50.3	2	4	0	70	20	37	38	6.79	1.79
58	0	57	5	6	1	52	28	50	26	4.11	1.4
12	0	11	0	0	1	5	3	16	1	0.82	0.73
33	33	196.3	16	7	0	199	62	123	81	3.71	1.33
7	0	5.7	0	1	1	5	1	5	1	1.59	1.06
33	0	38.7	3	2	0	46	10	27	29	6.75	1.45
3	1	1.7	0	0	0	4	2	2	2	10.8	3.6
18	0	23.3	1	1	0	24	7	16	14	5.4	1.33
2	2	7.7	1	0	0	12	3	5	3	3.52	1.96
1	0	1	0	0	0	0	1	0	0	0	1
34	34	200.3	20	9	0	214	31	150	75	3.37	1.22
30	30	190	10	13	0	197	65	163	96	4.55	1.38
68	0	67.7	1	2	39	43	18	74	10	1.33	0.9
59	0	54	3	1	1	42	22	60	12	2	1.19
15	0	13.3	0	1	0	12	4	15	7	4.73	1.2
12	0	15.7	0	0	0	25	12	8	15	8.62	2.36
5	2	16	2	2	0	18	8	14	9	5.06	1.63
3	3	14	1	1	0	20	8	11	11	7.07	2
11	0	10.7	0	1	0	17	2	12	10	8.44	1.78
20	6	71.7	3	5	0	92	37	55	51	6.4	1.8
34	32	212.3	15	8	0	192	42	186	83	3.52	1.1
3	0	4.3	0	0	0	10	4	3	9	18.69	3.23
45	0	48.3	4	1	0	45	15	26	16	2.98	1.24
23	0	32.7	1	2	0	32	19	24	14	3.86	1.56
5	1	9	1	1	0	11	11	4	13	13	2.44
30	0	43.3	0	1	0	49	14	29	22	4.57	1.45
7	0	6.7	0	1	0	16	4	4	15	20.25	3
30	5	62.7	1	4	0	86	31	49	45	6.46	1.87
83	0	58.7	4	1	1	51	22	53	24	3.68	1.24
64	0	62	3	2	1	49	23	60	18	2.61	1.16
54	0	72	7	1	0	67	16	48	23	2.88	1.15
33	33	201.7	8	11	0	195	69	113	94	4.2	1.31
26	26	132.7	9	10	0	168	62	83	98	6.65	1.73
43	0	60.7	4	3	0	87	12	31	41	6.08	1.63
32	32	208.7	17	10	0	199	47	165	82	3.54	1.18
6	4	25.7	1	2	0	34	8	19	13	4.56	1.64
22	18	104.7	6	9	0	104	41	87	69	5.93	1.39
29	29	171	14	8	0	185	65	127	90	4.74	1.46
3	3	12.7	0	2	0	17	13	3	12	8.53	2.37
67	0	69.3	5	4	41	58	8	77	18	2.34	0.95
12	2	23	0	4	0	37	15	13	21	8.22	2.26
54	5	95.3	4	4	2	97	36	79	36	3.4	1.4
6	0	5	0	0	0	3	2	3	3	5.4	1
6	0	10.3	0	1	0	11	2	4	5	4.35	1.26
5	5	22.3	1	0	0	29	9	14	12	4.84	1.7
32	29	166	10	8	0	181	75	147	81	4.39	1.54
13	6	42.3	1	1	0	47	15	21	19	4.04	1.47
4	0	4.7	0	0	0	2	6	7	1	1.93	1.71
6	2	12.3	0	1	0	23	5	11	16	11.68	2.27
7	7	34.3	4	2	0	41	10	15	22	5.77	1.49
27	27	173.7	10	11	0	146	59	166	55	2.85	1.18
7	0	9.3	0	0	0	9	4	5	5	4.82	1.39
32	32	200.7	13	11	0	209	64	110	83	3.72	1.36
72	0	72.7	3	2	3	80	17	52	35	4.33	1.34
19	17	94.7	6	9	0	112	42	51	66	6.27	1.63
40	0	52.7	1	2	0	56	14	38	35	5.98	1.33
50	0	45.7	2	1	28	29	27	38	23	4.53	1.23
41	0	41.7	3	3	7	34	22	42	16	3.46	1.34
30	30	159.7	7	12	0	182	55	119	77	4.34	1.48
34	34	194	10	7	0	167	105	180	91	4.22	1.4
73	0	76.3	4	4	2	67	23	86	30	3.54	1.18
26	26	151	12	4	0	183	39	74	74	4.41	1.47
19	8	56.3	3	5	0	45	14	42	27	4.31	1.05
33	33	204	14	14	0	233	55	158	103	4.54	1.41
3	1	4	0	1	0	11	2	1	9	20.25	3.25
2	0	0.7	0	0	0	2	2	0	1	13.5	6
26	25	148.7	7	7	1	180	35	81	85	5.15	1.45
67	0	64.7	2	5	0	52	39	56	32	4.45	1.41
25	24	135.7	8	5	0	170	48	58	76	5.04	1.61
5	1	14	0	0	0	9	4	12	3	1.93	0.93
41	0	38.7	2	0	0	41	24	46	26	6.05	1.68
12	12	65	3	6	0	67	29	58	40	5.54	1.48
47	0	46.3	6	5	15	46	28	56	20	3.88	1.6
77	0	73.7	4	8	9	61	18	71	23	2.81	1.07
55	0	55.3	5	1	1	44	24	63	24	3.9	1.23
1	0	2.7	0	1	0	8	2	1	9	30.38	3.75
32	0	37.3	1	4	0	45	9	13	18	4.34	1.45
71	0	71.7	3	2	1	57	31	70	21	2.64	1.23
5	4	27	1	1	0	17	11	21	8	2.67	1.04
25	0	21.3	3	0	0	19	14	15	10	4.22	1.55
24	20	113.3	5	10	0	135	39	67	68	5.4	1.54
74	0	71.7	4	8	18	69	16	66	33	4.14	1.19
33	33	182	10	11	0	195	65	120	100	4.95	1.43
10	9	45.3	2	5	0	61	16	20	38	7.54	1.7
10	0	10	0	0	0	13	6	8	10	9	1.9
4	3	18	2	1	0	14	12	13	10	5	1.44
16	0	18.3	0	1	0	16	10	13	12	5.89	1.42
26	0	22.7	2	2	0	21	10	19	11	4.37	1.37
16	6	49	4	2	1	47	15	25	15	2.76	1.27
75	0	46.3	3	0	0	40	15	39	12	2.33	1.19
23	22	113	3	11	0	134	52	78	73	5.81	1.65
14	13	62	2	8	0	83	26	22	56	8.13	1.76
61	0	35.3	4	1	2	28	16	40	8	2.04	1.25
13	8	47.7	2	5	0	61	13	29	32	6.04	1.55
5	5	27	1	3	0	32	2	20	12	4	1.26
10	0	9.7	1	0	0	7	1	8	4	3.72	0.83
47	0	55.3	3	3	0	67	24	39	36	5.86	1.65
8	0	4	0	0	0	4	1	3	2	4.5	1.25
42	0	22.3	2	1	0	32	10	16	21	8.46	1.88
45	0	42.3	1	2	2	47	25	27	25	5.31	1.7
64	0	70.7	6	5	39	41	6	77	11	1.4	0.67
76	0	84	5	6	0	90	35	65	37	3.96	1.49
6	0	7	0	1	0	8	2	2	4	5.14	1.43
25	0	30.3	4	0	0	29	15	36	18	5.34	1.45
32	28	168.7	7	11	0	218	62	108	119	6.35	1.66
38	0	40.3	0	6	13	34	30	49	22	4.91	1.59
76	0	68.3	2	3	62	54	34	77	17	2.24	1.29
25	25	137.3	9	7	0	136	44	131	54	3.54	1.31
5	0	3	0	0	0	6	2	6	3	9	2.67
30	30	173.7	9	13	0	212	71	82	110	5.7	1.63
81	0	59	4	4	1	41	38	52	18	2.75	1.34
29	0	34	3	1	0	16	8	33	8	2.12	0.71
2	0	3.3	0	0	0	3	0	3	1	2.7	0.9
27	0	30	1	1	0	32	15	18	14	4.2	1.57
47	12	118.3	5	3	2	114	48	77	45	3.42	1.37
8	0	5	0	0	0	5	3	6	1	1.8	1.6
46	0	89.3	3	1	0	93	46	53	51	5.14	1.56
35	9	83.7	5	5	0	94	25	55	48	5.16	1.42
22	0	26	4	0	0	30	10	22	15	5.19	1.54
60	0	58	2	4	32	46	28	58	19	2.95	1.28
1	0	1.3	0	0	0	0	1	1	0	0	0.75
8	1	26.3	1	0	0	37	4	12	16	5.47	1.56
35	35	253	17	10	0	223	59	251	76	2.7	1.12
33	0	44.3	0	1	0	34	27	42	20	4.06	1.38
45	0	47	4	4	18	40	16	60	13	2.49	1.19
5	0	6.3	0	0	0	5	4	8	5	7.11	1.42
13	0	17	1	0	0	25	14	9	16	8.47	2.29
26	0	27.7	1	0	1	24	15	25	7	2.28	1.41
54	11	117.3	6	4	0	118	23	61	55	4.22	1.2
12	0	11	2	0	0	16	5	10	9	7.36	1.91
10	10	51.7	2	5	0	54	27	50	32	5.57	1.57
66	0	58.3	5	1	0	54	23	44	28	4.32	1.32
2	0	2	0	0	0	1	2	1	1	4.5	1.5
29	29	158	9	12	0	154	75	157	88	5.01	1.45
10	0	13.3	0	0	1	14	6	3	6	4.05	1.5
32	32	219	16	7	0	198	47	214	85	3.49	1.12
34	34	234.3	16	7	0	206	63	206	66	2.53	1.15
57	4	79.7	4	3	0	62	62	86	42	4.74	1.56
31	31	198	17	7	0	187	53	103	75	3.41	1.21
16	7	56	0	4	0	48	21	66	19	3.05	1.23
73	0	56.7	2	6	1	55	23	34	21	3.34	1.38
4	0	5	0	0	0	6	6	3	3	5.4	2.4
42	0	43.3	5	4	0	38	25	30	17	3.53	1.45
60	0	56.3	1	2	0	59	25	58	28	4.47	1.49
1	0	1	0	0	0	1	0	1	0	0	1
31	31	198.3	13	9	0	181	47	158	68	3.09	1.15
39	0	50	2	2	2	34	20	41	12	2.16	1.08
57	0	53.3	3	5	31	47	33	58	28	4.73	1.5
33	33	215	14	8	0	208	40	160	85	3.56	1.15
64	0	63.3	6	4	4	56	29	64	19	2.7	1.34
69	0	51.3	5	1	2	46	14	33	16	2.81	1.17
28	28	153.3	4	15	0	213	32	69	110	6.46	1.6
4	1	13	0	0	0	16	2	8	9	6.23	1.39
45	0	32.3	0	3	0	33	14	20	17	4.73	1.45
2	0	2	0	0	0	8	0	1	6	27	4
27	27	160.3	12	11	0	161	24	123	71	3.99	1.15
12	0	18.3	1	0	0	18	7	13	16	7.85	1.36
32	32	190.3	7	16	0	169	87	111	88	4.16	1.35
82	0	63.3	6	3	0	51	31	52	25	3.55	1.3
6	5	28	3	2	0	25	8	36	8	2.57	1.18
31	31	164.3	7	12	0	201	89	135	99	5.42	1.77
2	0	1.7	0	0	0	2	2	1	4	21.6	2.4
32	32	193.3	13	9	0	212	37	124	94	4.38	1.29
63	0	67.3	2	3	42	39	19	66	12	1.6	0.86
14	0	14	0	1	3	7	9	16	4	2.57	1.14
20	0	21.7	4	1	0	30	11	12	17	7.06	1.89
22	22	121	4	9	0	141	39	64	75	5.58	1.49
62	0	68	2	8	0	69	27	56	38	5.03	1.41
43	0	51	2	1	0	52	18	33	23	4.06	1.37
7	0	8	0	1	0	13	6	1	10	11.25	2.38
70	0	50.3	2	1	0	39	18	45	13	2.32	1.13
30	0	25.3	3	1	0	14	19	31	9	3.2	1.3
6	0	7.3	0	0	0	2	4	9	0	0	0.82
24	1	33.3	1	0	1	35	8	26	13	3.51	1.29
63	0	70	7	5	18	58	27	69	29	3.73	1.21
7	7	38.7	2	3	0	38	13	30	15	3.49	1.32
3	0	2.3	0	0	0	1	1	1	0	0	0.86
31	31	177.7	10	10	0	207	67	90	98	4.96	1.54
3	0	4.7	0	0	0	9	2	4	4	7.71	2.36
3	1	9.7	0	0	0	16	11	5	12	11.17	2.79
51	0	56.3	1	2	0	52	22	47	18	2.88	1.31
7	0	4.7	0	0	0	8	1	4	5	9.64	1.93
25	0	17.7	0	1	0	22	8	13	16	8.15	1.7
67	0	48	3	2	0	57	24	39	26	4.88	1.69
1	1	6	0	0	0	7	3	4	2	3	1.67
52	0	54.7	1	5	0	73	28	51	31	5.1	1.85
29	1	45.3	2	2	0	27	24	45	20	3.97	1.13
25	0	25.7	0	4	0	42	13	17	24	8.42	2.14
8	0	4	0	1	0	9	2	2	3	6.75	2.75
26	6	64.7	6	3	0	72	19	32	37	5.15	1.41
3	3	14.3	0	2	0	20	7	6	11	6.91	1.88
2	0	2	0	0	0	4	2	1	5	22.5	3
74	0	67.3	5	3	1	48	19	77	20	2.67	1
7	0	10	0	1	0	11	9	6	4	3.6	2
47	0	49.3	4	4	1	60	20	32	31	5.66	1.62
22	10	70	2	7	0	83	18	49	49	6.3	1.44
71	0	80	7	5	28	75	33	51	31	3.49	1.35
19	0	16.7	0	0	0	23	7	11	13	7.02	1.8
10	8	39.7	2	5	0	53	27	16	37	8.39	2.02
32	0	38	1	1	0	37	12	38	18	4.26	1.29
13	6	37	2	3	0	46	23	28	34	8.27	1.87
8	0	6.3	0	1	1	12	13	5	11	15.63	3.95
17	1	16	1	0	0	14	7	13	3	1.69	1.31
74	0	72	6	3	44	62	23	83	27	3.38	1.18
9	5	22.3	1	3	0	37	20	21	26	10.48	2.55
4	4	14	1	1	0	20	10	20	12	7.71	2.14
11	4	37	3	2	0	33	11	20	19	4.62	1.19
33	33	208.3	12	16	0	214	61	200	108	4.67	1.32
60	0	57.7	5	3	0	52	29	63	23	3.59	1.41
33	33	201	11	17	0	195	87	163	108	4.84	1.4
47	9	108.3	4	7	1	112	30	93	49	4.07	1.31
35	0	37.7	1	3	0	42	17	21	21	5.02	1.57
74	0	50	1	2	1	45	37	50	26	4.68	1.64
43	0	46	1	2	0	48	19	49	27	5.28	1.46
33	32	196	17	6	0	167	93	206	70	3.21	1.33
15	14	84.3	6	4	0	76	36	52	27	2.88	1.33
55	0	71.3	2	1	0	51	15	51	18	2.27	0.93
48	0	63.3	4	2	0	63	21	46	26	3.69	1.33
45	0	47	0	1	27	32	10	52	12	2.3	0.89
20	20	132	11	3	0	122	34	91	47	3.2	1.18
30	30	181	10	11	0	154	60	117	83	4.13	1.18
59	0	38	1	3	0	53	11	24	29	6.87	1.68
65	0	53.3	5	8	0	47	21	49	27	4.56	1.28
6	0	10.3	1	1	0	13	9	12	7	6.1	2.13
15	15	95	8	2	0	90	35	54	43	4.07	1.32
28	26	153.7	5	14	1	174	50	87	80	4.69	1.46
24	0	19.7	1	2	0	27	14	9	17	7.78	2.09
11	11	64.7	3	5	0	70	29	33	36	5.01	1.53
72	0	69.3	4	6	0	76	30	46	25	3.25	1.53
30	30	176.7	11	10	0	173	54	152	85	4.33	1.29
34	34	226.7	22	7	0	206	65	183	83	3.3	1.2
32	32	191.7	13	9	0	178	62	134	79	3.71	1.25
8	0	8.3	0	0	0	11	7	5	8	8.64	2.16
25	2	37.7	1	3	0	39	30	31	26	6.21	1.83
4	0	5.3	0	0	0	0	3	1	0	0	0.56
5	5	34.7	1	2	0	33	7	19	12	3.12	1.15
70	0	66.3	5	6	13	44	22	53	23	3.12	1
8	0	4	0	0	0	7	11	1	9	20.25	4.5
8	7	24	0	2	0	18	35	18	25	9.38	2.21
63	0	62.3	3	2	41	62	28	67	32	4.62	1.44
50	0	46.3	2	2	24	49	27	41	31	6.02	1.64
8	0	7	0	1	0	10	3	6	5	6.43	1.86
33	33	190.3	12	12	0	191	71	162	91	4.3	1.38
20	0	22	0	2	0	18	6	14	6	2.45	1.09
65	0	66.3	5	4	34	54	18	84	24	3.26	1.09
15	0	19	0	0	0	22	11	9	13	6.16	1.74
4	0	5.7	0	1	0	8	4	4	5	7.94	2.12
75	0	84.3	8	7	0	93	35	60	48	5.12	1.52
71	0	55.7	4	3	1	45	34	57	31	5.01	1.42
45	0	44.7	1	1	0	44	20	30	18	3.63	1.43
60	0	68	3	6	0	63	32	48	27	3.57	1.4
31	0	37.7	1	3	0	41	17	25	20	4.78	1.54
72	0	73.3	6	3	1	72	41	63	38	4.66	1.54
18	18	102.3	7	6	0	84	48	93	45	3.96	1.29
30	30	188.7	14	6	0	172	72	130	82	3.91	1.29
47	0	59.7	3	0	11	47	22	30	7	1.06	1.16
1	1	4.3	0	0	0	11	1	1	8	16.62	2.77
32	32	180	10	17	0	186	102	120	103	5.15	1.6
21	0	23.3	0	2	1	24	22	22	9	3.47	1.97
